export_time,error_code,parameter_value
2025-10-05,E03,68.55
2025-10-05,E03,59.48
2025-10-05,E01,30.49
2025-10-05,E04,48.82
2025-10-05,E02,14.39
2025-10-05,E03,35.5
2025-10-05,E01,12.83
2025-10-05,E05,65.47
2025-10-05,E01,17.84
2025-10-05,E05,47.41
2025-10-05,E03,54.49
2025-10-05,E02,19.57
2025-10-05,E05,39.45
2025-10-05,E04,27.81
2025-10-05,E01,20.99
2025-10-05,E05,45.22
2025-10-05,E03,43.37
2025-10-05,E01,11.94
2025-10-05,E05,82.8
2025-10-05,E01,37.17
2025-10-05,E04,20.18
2025-10-05,E02,21.8
2025-10-05,E05,45.89
2025-10-05,E01,29.59
2025-10-05,E05,35.27
2025-10-05,E01,29.77
2025-10-05,E03,33.27
2025-10-05,E05,73.52
2025-10-05,E04,40.58
2025-10-05,E02,13.89
2025-10-05,E03,39.07
