export_time,error_code,parameter_value
2025-10-04,E05,53.25
2025-10-04,E02,21.37
2025-10-04,E01,29.97
2025-10-04,E01,19.57
2025-10-04,E05,72.0
2025-10-04,E03,60.8
2025-10-04,E01,25.63
2025-10-04,E04,30.16
2025-10-04,E05,57.62
2025-10-04,E01,29.86
2025-10-04,E03,55.31
2025-10-04,E03,65.61
2025-10-04,E01,18.67
2025-10-04,E05,52.58
2025-10-04,E04,35.65
2025-10-04,E03,68.66
2025-10-04,E05,69.01
2025-10-04,E02,9.63
2025-10-04,E05,73.98
2025-10-04,E04,44.46
2025-10-04,E03,26.27
2025-10-04,E02,23.83
2025-10-04,E03,32.48
2025-10-04,E05,50.03
2025-10-04,E05,88.74
2025-10-04,E01,26.81
2025-10-04,E01,25.54
2025-10-04,E01,12.27
2025-10-04,E05,73.16
2025-10-04,E05,40.72
2025-10-04,E02,13.31
2025-10-04,E01,27.13
2025-10-04,E05,46.84
2025-10-04,E03,40.4
