export_time,error_code,parameter_value
2025-10-11,E02,10.44
2025-10-11,E02,21.42
2025-10-11,E02,22.67
2025-10-11,E02,21.09
2025-10-11,E02,8.54
2025-10-11,E02,9.17
2025-10-11,E05,61.88
2025-10-11,E05,34.45
2025-10-11,E03,59.3
2025-10-11,E03,42.01
2025-10-11,E04,26.41
2025-10-11,E02,5.69
2025-10-11,E04,25.69
2025-10-11,E04,23.77
2025-10-11,E03,55.61
2025-10-11,E01,37.21
2025-10-11,E03,52.16
2025-10-11,E05,84.93
2025-10-11,E03,61.0
2025-10-11,E02,24.94
2025-10-11,E04,18.27
2025-10-11,E03,42.45
2025-10-11,E01,16.77
2025-10-11,E03,52.89
2025-10-11,E01,15.66
2025-10-11,E04,15.76
2025-10-11,E05,59.26
2025-10-11,E03,27.95
2025-10-11,E03,54.6
2025-10-11,E05,75.64
2025-10-11,E01,19.22
2025-10-11,E04,41.24
2025-10-11,E05,44.59
2025-10-11,E03,59.7
2025-10-11,E01,28.5
2025-10-11,E03,67.65
2025-10-11,E04,39.1
2025-10-11,E03,51.68
2025-10-11,E03,50.67
2025-10-11,E03,28.88
