export_time,error_code,parameter_value
2025-10-09,E01,33.6
2025-10-09,E03,33.62
2025-10-09,E05,44.15
2025-10-09,E03,41.59
2025-10-09,E05,69.28
2025-10-09,E01,17.93
2025-10-09,E01,15.08
2025-10-09,E02,13.28
2025-10-09,E03,63.43
2025-10-09,E05,69.08
2025-10-09,E05,49.79
2025-10-09,E02,18.94
2025-10-09,E05,31.9
2025-10-09,E04,39.22
2025-10-09,E03,59.22
2025-10-09,E01,14.95
2025-10-09,E05,68.75
2025-10-09,E01,18.51
2025-10-09,E05,81.57
2025-10-09,E05,50.2
2025-10-09,E04,49.51
2025-10-09,E04,18.03
2025-10-09,E02,9.19
2025-10-09,E01,13.57
