export_time,error_code,parameter_value
2025-10-12,E01,29.33
2025-10-12,E02,9.64
2025-10-12,E03,68.22
2025-10-12,E04,48.57
2025-10-12,E05,65.76
2025-10-12,E01,20.34
2025-10-12,E01,14.73
2025-10-12,E02,15.23
2025-10-12,E02,10.97
2025-10-12,E02,16.64
2025-10-12,E04,21.44
2025-10-12,E01,11.96
2025-10-12,E04,29.93
2025-10-12,E03,26.7
2025-10-12,E01,19.26
2025-10-12,E01,36.87
2025-10-12,E02,10.87
2025-10-12,E03,35.65
2025-10-12,E05,62.64
2025-10-12,E02,11.23
2025-10-12,E03,20.04
2025-10-12,E05,87.06
2025-10-12,E03,24.23
2025-10-12,E02,23.62
2025-10-12,E04,32.51
2025-10-12,E05,46.66
2025-10-12,E04,30.48
2025-10-12,E01,24.03
2025-10-12,E01,31.04
2025-10-12,E02,16.4
2025-10-12,E05,62.09
2025-10-12,E02,24.91
2025-10-12,E04,23.23
2025-10-12,E01,39.85
2025-10-12,E01,25.59
2025-10-12,E05,72.61
2025-10-12,E01,23.99
2025-10-12,E05,47.9
2025-10-12,E05,47.17
2025-10-12,E01,31.84
2025-10-12,E01,15.72
2025-10-12,E02,22.88
2025-10-12,E02,9.47
2025-10-12,E05,79.94
2025-10-12,E05,86.91
