export_time,error_code,parameter_value
2025-10-04,E04,15.61
2025-10-04,E05,31.56
2025-10-04,E02,12.3
2025-10-04,E01,39.24
2025-10-04,E01,15.75
2025-10-04,E03,31.57
2025-10-04,E01,38.41
2025-10-04,E02,10.13
2025-10-04,E05,36.71
2025-10-04,E01,11.71
2025-10-04,E05,50.17
2025-10-04,E01,27.22
2025-10-04,E02,15.43
2025-10-04,E05,45.54
2025-10-04,E05,66.78
2025-10-04,E05,61.7
2025-10-04,E03,46.53
2025-10-04,E02,7.18
2025-10-04,E05,47.81
2025-10-04,E05,81.1
2025-10-04,E03,46.25
2025-10-04,E04,24.52
2025-10-04,E02,6.47
2025-10-04,E05,34.08
2025-10-04,E02,22.49
2025-10-04,E01,20.8
2025-10-04,E01,20.2
2025-10-04,E05,71.4
2025-10-04,E03,51.55
2025-10-04,E03,23.75
2025-10-04,E05,32.36
2025-10-04,E02,7.28
2025-10-04,E04,38.75
2025-10-04,E05,68.52
2025-10-04,E03,46.92
2025-10-04,E01,14.52
2025-10-04,E01,16.13
2025-10-04,E03,24.35
2025-10-04,E05,55.48
2025-10-04,E03,68.05
2025-10-04,E05,40.96
2025-10-04,E01,31.12
2025-10-04,E05,84.19
