export_time,error_code,parameter_value
2025-10-10,E04,17.24
2025-10-10,E02,15.77
2025-10-10,E05,80.18
2025-10-10,E02,20.16
2025-10-10,E02,7.72
2025-10-10,E01,12.72
2025-10-10,E02,16.37
2025-10-10,E05,49.4
2025-10-10,E05,50.73
2025-10-10,E03,25.14
2025-10-10,E03,64.0
2025-10-10,E01,29.03
2025-10-10,E05,45.92
2025-10-10,E04,48.63
2025-10-10,E05,37.14
2025-10-10,E02,20.85
2025-10-10,E04,27.72
2025-10-10,E04,29.2
2025-10-10,E04,42.42
2025-10-10,E01,37.05
2025-10-10,E03,42.65
2025-10-10,E05,49.93
2025-10-10,E01,32.47
