export_time,error_code,parameter_value
2025-10-11,E04,43.27
2025-10-11,E05,70.81
2025-10-11,E04,30.83
2025-10-11,E05,83.35
2025-10-11,E05,56.15
2025-10-11,E05,56.05
2025-10-11,E04,40.3
2025-10-11,E02,24.12
2025-10-11,E03,50.29
2025-10-11,E03,58.27
2025-10-11,E03,29.43
2025-10-11,E04,47.58
2025-10-11,E05,39.06
2025-10-11,E05,57.62
2025-10-11,E05,65.51
2025-10-11,E03,63.18
2025-10-11,E05,51.9
2025-10-11,E02,21.6
2025-10-11,E02,5.15
2025-10-11,E02,21.28
2025-10-11,E02,13.48
2025-10-11,E02,13.87
2025-10-11,E04,33.69
2025-10-11,E04,40.76
2025-10-11,E05,56.25
2025-10-11,E02,16.9
2025-10-11,E02,20.95
2025-10-11,E01,19.87
2025-10-11,E05,62.36
2025-10-11,E04,32.89
