export_time,error_code,parameter_value
2025-10-10,E04,25.19
2025-10-10,E02,9.82
2025-10-10,E05,70.8
2025-10-10,E05,42.87
2025-10-10,E05,34.34
2025-10-10,E05,57.29
2025-10-10,E01,15.54
2025-10-10,E03,24.83
2025-10-10,E03,67.23
2025-10-10,E05,52.11
2025-10-10,E04,19.28
2025-10-10,E05,75.32
2025-10-10,E05,45.25
2025-10-10,E04,31.3
2025-10-10,E01,30.26
2025-10-10,E02,16.67
2025-10-10,E04,16.8
2025-10-10,E01,33.79
2025-10-10,E02,12.68
2025-10-10,E03,60.82
2025-10-10,E03,30.23
2025-10-10,E03,30.09
2025-10-10,E05,70.91
2025-10-10,E03,59.76
2025-10-10,E01,27.46
2025-10-10,E03,49.27
2025-10-10,E03,24.31
2025-10-10,E02,24.86
2025-10-10,E02,13.39
2025-10-10,E03,40.23
2025-10-10,E03,33.15
2025-10-10,E04,25.74
2025-10-10,E02,9.53
2025-10-10,E01,17.75
2025-10-10,E01,25.71
2025-10-10,E03,66.94
2025-10-10,E04,47.51
2025-10-10,E03,67.35
2025-10-10,E03,56.78
2025-10-10,E02,20.46
2025-10-10,E01,20.29
2025-10-10,E02,15.21
2025-10-10,E04,26.13
2025-10-10,E01,35.46
2025-10-10,E05,34.65
2025-10-10,E02,5.76
2025-10-10,E01,13.19
2025-10-10,E04,40.39
2025-10-10,E02,12.03
