export_time,error_code,parameter_value
2025-10-03,E01,30.5
2025-10-03,E03,32.36
2025-10-03,E01,20.57
2025-10-03,E03,44.39
2025-10-03,E02,9.86
2025-10-03,E05,40.59
2025-10-03,E02,14.64
2025-10-03,E03,58.4
2025-10-03,E02,21.65
2025-10-03,E04,26.87
2025-10-03,E02,14.56
2025-10-03,E01,19.61
2025-10-03,E05,33.94
2025-10-03,E04,47.7
2025-10-03,E04,46.53
2025-10-03,E02,12.23
2025-10-03,E05,68.69
2025-10-03,E04,18.28
2025-10-03,E03,63.86
2025-10-03,E04,26.9
2025-10-03,E01,29.6
2025-10-03,E02,7.35
2025-10-03,E04,18.49
2025-10-03,E05,53.62
2025-10-03,E03,30.96
2025-10-03,E01,25.26
2025-10-03,E02,20.38
