export_time,error_code,parameter_value
2025-10-09,E02,22.21
2025-10-09,E05,57.91
2025-10-09,E03,52.12
2025-10-09,E03,31.03
2025-10-09,E01,39.57
2025-10-09,E05,38.64
2025-10-09,E05,83.96
2025-10-09,E05,60.64
2025-10-09,E04,18.25
2025-10-09,E01,23.8
2025-10-09,E04,22.05
2025-10-09,E01,21.08
2025-10-09,E05,41.16
2025-10-09,E05,82.62
2025-10-09,E05,51.29
2025-10-09,E03,69.53
2025-10-09,E04,17.57
2025-10-09,E04,43.61
2025-10-09,E02,9.14
2025-10-09,E04,23.66
2025-10-09,E01,35.73
2025-10-09,E02,7.52
2025-10-09,E04,15.64
2025-10-09,E05,75.55
2025-10-09,E02,16.09
2025-10-09,E03,35.84
2025-10-09,E03,33.41
2025-10-09,E05,32.89
