export_time,error_code,parameter_value
2025-10-04,E02,17.51
2025-10-04,E05,36.68
2025-10-04,E03,61.0
2025-10-04,E04,36.82
2025-10-04,E01,15.3
2025-10-04,E02,22.33
2025-10-04,E01,26.64
2025-10-04,E01,25.98
2025-10-04,E01,26.27
2025-10-04,E04,35.99
2025-10-04,E03,51.18
2025-10-04,E03,67.43
2025-10-04,E05,33.57
2025-10-04,E05,88.42
2025-10-04,E03,49.9
2025-10-04,E01,34.51
2025-10-04,E05,33.33
2025-10-04,E04,38.44
2025-10-04,E05,55.99
2025-10-04,E03,40.13
2025-10-04,E05,35.69
2025-10-04,E03,20.06
2025-10-04,E04,19.43
2025-10-04,E03,33.33
2025-10-04,E03,62.31
2025-10-04,E05,54.91
2025-10-04,E05,88.89
2025-10-04,E03,45.98
2025-10-04,E03,51.05
