export_time,error_code,parameter_value
2025-10-09,E03,36.68
2025-10-09,E01,28.6
2025-10-09,E04,17.3
2025-10-09,E04,26.21
2025-10-09,E03,39.12
2025-10-09,E02,21.28
2025-10-09,E02,9.75
2025-10-09,E02,15.51
2025-10-09,E02,10.44
2025-10-09,E03,36.78
2025-10-09,E03,41.09
2025-10-09,E04,44.68
2025-10-09,E03,29.31
2025-10-09,E03,20.42
2025-10-09,E01,36.04
2025-10-09,E03,64.15
2025-10-09,E03,20.03
2025-10-09,E03,67.74
2025-10-09,E04,16.14
2025-10-09,E05,37.29
2025-10-09,E03,35.45
2025-10-09,E05,72.0
2025-10-09,E05,51.31
