export_time,error_code,parameter_value
2025-10-10,E03,68.06
2025-10-10,E05,78.64
2025-10-10,E02,19.32
2025-10-10,E04,44.96
2025-10-10,E02,14.5
2025-10-10,E02,17.45
2025-10-10,E04,32.09
2025-10-10,E04,20.59
2025-10-10,E03,63.68
2025-10-10,E03,40.85
2025-10-10,E02,7.62
2025-10-10,E04,26.92
2025-10-10,E05,54.85
2025-10-10,E04,38.85
2025-10-10,E01,39.2
2025-10-10,E04,42.38
2025-10-10,E03,59.57
2025-10-10,E02,17.69
2025-10-10,E05,67.51
2025-10-10,E05,55.96
2025-10-10,E02,17.67
2025-10-10,E04,20.82
2025-10-10,E04,35.7
2025-10-10,E02,6.12
2025-10-10,E05,78.22
2025-10-10,E05,64.15
2025-10-10,E05,58.82
2025-10-10,E02,7.85
2025-10-10,E01,33.64
2025-10-10,E02,12.09
2025-10-10,E04,48.25
2025-10-10,E01,15.23
2025-10-10,E02,15.05
2025-10-10,E04,43.55
2025-10-10,E03,59.79
2025-10-10,E04,19.09
2025-10-10,E05,31.84
2025-10-10,E04,31.98
2025-10-10,E05,50.45
2025-10-10,E04,40.5
2025-10-10,E05,31.94
2025-10-10,E05,43.62
