export_time,error_code,parameter_value
2025-10-02,E02,7.67
2025-10-02,E03,27.13
2025-10-02,E02,15.21
2025-10-02,E04,43.77
2025-10-02,E02,16.48
2025-10-02,E05,49.61
2025-10-02,E04,18.01
2025-10-02,E02,8.07
2025-10-02,E01,15.9
2025-10-02,E04,24.17
2025-10-02,E03,67.9
2025-10-02,E01,30.85
2025-10-02,E02,13.21
2025-10-02,E01,36.39
2025-10-02,E04,41.77
2025-10-02,E02,23.34
2025-10-02,E04,17.95
2025-10-02,E04,37.73
2025-10-02,E04,44.72
2025-10-02,E04,31.1
2025-10-02,E05,70.05
2025-10-02,E04,48.07
2025-10-02,E02,20.84
2025-10-02,E03,61.4
2025-10-02,E02,21.97
2025-10-02,E03,53.64
2025-10-02,E04,36.41
2025-10-02,E05,62.92
2025-10-02,E05,30.77
2025-10-02,E01,16.49
2025-10-02,E03,60.67
2025-10-02,E01,10.02
2025-10-02,E04,47.63
2025-10-02,E02,22.44
2025-10-02,E02,21.14
2025-10-02,E03,21.82
2025-10-02,E03,34.22
2025-10-02,E04,47.3
