export_time,error_code,parameter_value
2025-10-11,E02,6.85
2025-10-11,E05,50.2
2025-10-11,E04,22.46
2025-10-11,E03,57.17
2025-10-11,E03,54.99
2025-10-11,E01,11.87
2025-10-11,E03,27.25
2025-10-11,E03,62.51
2025-10-11,E04,21.18
2025-10-11,E05,39.23
2025-10-11,E04,22.15
2025-10-11,E03,59.19
2025-10-11,E05,83.42
2025-10-11,E05,63.42
2025-10-11,E02,15.43
2025-10-11,E05,56.29
2025-10-11,E02,14.0
2025-10-11,E05,50.66
2025-10-11,E02,17.88
2025-10-11,E03,29.8
2025-10-11,E03,69.14
2025-10-11,E04,40.85
2025-10-11,E02,7.37
2025-10-11,E03,28.3
2025-10-11,E01,37.95
2025-10-11,E05,73.71
2025-10-11,E04,40.43
