export_time,error_code,parameter_value
2025-10-05,E01,37.98
2025-10-05,E04,19.1
2025-10-05,E01,31.67
2025-10-05,E01,27.16
2025-10-05,E04,44.43
2025-10-05,E01,26.35
2025-10-05,E02,21.08
2025-10-05,E03,47.32
2025-10-05,E03,32.09
2025-10-05,E03,37.64
2025-10-05,E05,75.71
2025-10-05,E03,67.73
2025-10-05,E04,30.49
2025-10-05,E05,52.69
2025-10-05,E02,21.9
2025-10-05,E01,39.86
2025-10-05,E02,10.56
2025-10-05,E05,48.38
2025-10-05,E02,17.21
2025-10-05,E02,6.84
2025-10-05,E02,16.85
2025-10-05,E01,34.56
2025-10-05,E04,49.24
2025-10-05,E04,37.22
2025-10-05,E02,8.22
2025-10-05,E02,12.2
2025-10-05,E05,54.68
2025-10-05,E04,43.86
2025-10-05,E02,23.62
2025-10-05,E04,44.5
2025-10-05,E03,28.4
2025-10-05,E05,64.85
2025-10-05,E01,27.92
2025-10-05,E01,38.67
