export_time,error_code,parameter_value
2025-10-07,E04,20.03
2025-10-07,E01,23.26
2025-10-07,E01,16.98
2025-10-07,E02,15.49
2025-10-07,E01,28.78
2025-10-07,E01,13.67
2025-10-07,E02,20.91
2025-10-07,E03,63.73
2025-10-07,E04,17.65
2025-10-07,E02,9.51
2025-10-07,E05,56.34
2025-10-07,E02,22.2
2025-10-07,E05,32.01
2025-10-07,E03,22.56
2025-10-07,E02,7.64
2025-10-07,E01,25.56
2025-10-07,E03,55.37
2025-10-07,E02,13.33
2025-10-07,E04,29.73
2025-10-07,E04,18.81
2025-10-07,E05,67.51
2025-10-07,E05,63.85
2025-10-07,E05,70.92
2025-10-07,E03,26.27
2025-10-07,E03,21.44
2025-10-07,E04,44.22
2025-10-07,E01,33.21
2025-10-07,E03,23.15
2025-10-07,E05,71.14
2025-10-07,E05,59.66
2025-10-07,E05,55.93
2025-10-07,E02,12.09
2025-10-07,E03,43.2
2025-10-07,E02,15.06
2025-10-07,E04,38.68
2025-10-07,E02,23.25
2025-10-07,E05,50.89
2025-10-07,E02,23.95
2025-10-07,E04,33.37
2025-10-07,E01,37.81
2025-10-07,E03,40.29
2025-10-07,E05,36.98
2025-10-07,E04,37.98
2025-10-07,E01,35.36
2025-10-07,E01,11.37
2025-10-07,E03,46.41
