export_time,error_code,parameter_value
2025-10-03,E04,18.49
2025-10-03,E05,58.49
2025-10-03,E01,32.54
2025-10-03,E02,16.66
2025-10-03,E04,40.01
2025-10-03,E05,53.94
2025-10-03,E01,35.97
2025-10-03,E02,18.87
2025-10-03,E03,52.66
2025-10-03,E01,12.42
2025-10-03,E01,11.46
2025-10-03,E01,26.34
2025-10-03,E05,30.22
2025-10-03,E05,80.74
2025-10-03,E04,34.56
2025-10-03,E04,32.73
2025-10-03,E05,53.61
2025-10-03,E04,24.05
2025-10-03,E01,19.65
2025-10-03,E03,64.9
2025-10-03,E04,34.78
2025-10-03,E01,22.9
2025-10-03,E03,43.94
2025-10-03,E05,82.95
2025-10-03,E05,81.87
2025-10-03,E05,40.99
2025-10-03,E04,28.16
2025-10-03,E04,41.02
2025-10-03,E02,12.47
2025-10-03,E01,18.29
2025-10-03,E03,49.71
2025-10-03,E02,19.92
2025-10-03,E04,18.66
2025-10-03,E01,24.84
2025-10-03,E05,73.73
2025-10-03,E02,7.33
2025-10-03,E02,24.95
2025-10-03,E01,10.51
2025-10-03,E04,40.53
2025-10-03,E05,84.03
2025-10-03,E04,29.54
2025-10-03,E04,45.29
2025-10-03,E05,47.6
2025-10-03,E04,25.31
2025-10-03,E02,22.27
2025-10-03,E03,42.58
2025-10-03,E05,79.35
2025-10-03,E04,27.63
2025-10-03,E05,31.94
2025-10-03,E04,17.65
