export_time,error_code,parameter_value
2025-10-08,E01,36.85
2025-10-08,E03,58.3
2025-10-08,E05,71.28
2025-10-08,E04,31.0
2025-10-08,E02,20.0
2025-10-08,E03,60.14
2025-10-08,E02,7.27
2025-10-08,E04,23.64
2025-10-08,E01,16.59
2025-10-08,E02,6.03
2025-10-08,E04,23.36
2025-10-08,E03,63.14
2025-10-08,E01,23.31
2025-10-08,E02,23.97
2025-10-08,E04,29.62
2025-10-08,E05,64.34
2025-10-08,E01,32.21
2025-10-08,E05,87.23
2025-10-08,E05,88.18
2025-10-08,E04,39.8
2025-10-08,E02,21.13
2025-10-08,E05,75.12
2025-10-08,E04,26.58
2025-10-08,E02,17.36
2025-10-08,E01,31.93
2025-10-08,E02,23.08
