export_time,error_code,parameter_value
2025-10-05,E03,47.17
2025-10-05,E02,23.21
2025-10-05,E03,48.1
2025-10-05,E05,84.95
2025-10-05,E01,37.03
2025-10-05,E05,70.23
2025-10-05,E03,64.05
2025-10-05,E04,30.67
2025-10-05,E04,39.42
2025-10-05,E03,30.36
2025-10-05,E01,25.5
2025-10-05,E03,59.9
2025-10-05,E05,86.02
2025-10-05,E03,52.39
2025-10-05,E01,10.36
2025-10-05,E05,57.17
2025-10-05,E05,89.13
2025-10-05,E05,34.4
2025-10-05,E02,24.65
2025-10-05,E03,61.5
2025-10-05,E04,42.11
2025-10-05,E04,43.88
2025-10-05,E02,5.22
2025-10-05,E03,57.92
2025-10-05,E02,12.86
2025-10-05,E05,50.87
2025-10-05,E01,24.03
2025-10-05,E02,10.05
2025-10-05,E01,28.31
