export_time,error_code,parameter_value
2025-10-08,E01,35.78
2025-10-08,E04,39.23
2025-10-08,E01,29.15
2025-10-08,E04,28.78
2025-10-08,E05,86.01
2025-10-08,E03,42.95
2025-10-08,E01,31.97
2025-10-08,E01,28.89
2025-10-08,E02,21.88
2025-10-08,E02,20.24
2025-10-08,E02,6.72
2025-10-08,E04,35.74
2025-10-08,E02,21.7
2025-10-08,E03,25.11
2025-10-08,E01,38.88
2025-10-08,E05,54.92
2025-10-08,E02,12.78
2025-10-08,E04,35.12
2025-10-08,E04,43.27
2025-10-08,E02,5.32
2025-10-08,E02,14.46
2025-10-08,E01,34.85
2025-10-08,E05,35.85
2025-10-08,E01,24.64
2025-10-08,E03,31.22
2025-10-08,E03,30.94
2025-10-08,E02,15.93
2025-10-08,E01,21.58
2025-10-08,E05,74.0
2025-10-08,E04,25.19
2025-10-08,E01,32.72
2025-10-08,E05,61.01
2025-10-08,E02,19.25
2025-10-08,E04,27.96
2025-10-08,E02,24.57
2025-10-08,E01,30.42
2025-10-08,E02,18.93
2025-10-08,E01,22.34
2025-10-08,E02,15.27
2025-10-08,E03,61.7
2025-10-08,E03,23.73
2025-10-08,E03,41.72
2025-10-08,E02,19.88
2025-10-08,E01,12.95
2025-10-08,E01,39.55
2025-10-08,E04,43.99
2025-10-08,E04,42.38
2025-10-08,E03,33.91
2025-10-08,E05,68.71
2025-10-08,E04,29.59
