export_time,error_code,parameter_value
2025-10-06,E02,12.25
2025-10-06,E01,23.99
2025-10-06,E05,43.72
2025-10-06,E03,62.2
2025-10-06,E01,17.06
2025-10-06,E05,78.25
2025-10-06,E01,26.91
2025-10-06,E02,21.09
2025-10-06,E05,66.74
2025-10-06,E05,35.46
2025-10-06,E02,6.69
2025-10-06,E04,32.47
2025-10-06,E02,13.75
2025-10-06,E02,11.21
2025-10-06,E02,8.57
2025-10-06,E03,56.1
2025-10-06,E02,23.23
2025-10-06,E04,46.85
2025-10-06,E02,7.82
2025-10-06,E01,37.16
2025-10-06,E01,36.21
2025-10-06,E02,23.49
2025-10-06,E05,62.87
2025-10-06,E02,6.11
2025-10-06,E04,42.71
2025-10-06,E05,64.34
2025-10-06,E02,22.4
2025-10-06,E01,34.48
2025-10-06,E01,31.82
2025-10-06,E04,30.34
2025-10-06,E02,9.86
2025-10-06,E02,17.7
2025-10-06,E02,24.2
2025-10-06,E04,42.55
2025-10-06,E01,15.24
2025-10-06,E02,11.63
2025-10-06,E04,39.09
2025-10-06,E01,12.83
2025-10-06,E01,35.14
2025-10-06,E04,27.49
